condominio;quartos;suites;vagas;area;bairro;atualizacao;preco;distancia;pm2
710;2;1.0;1.0;76;4;0;600000;99.0;7894.74
669;2;1.0;1.0;70;4;0;550000;99.0;7857.14
680;2;1.0;1.0;77;4;5;580000;99.0;7532.47
680;2;1.0;1.0;65;4;25;390000;99.0;6000.0
730;2;1.0;1.0;61;4;0;350000;99.0;5737.7
640;2;1.0;1.0;70;4;0;435000;99.0;6214.29
300;2;1.0;1.0;100;4;0;354000;99.0;3540.0
300;2;1.0;1.0;50;4;0;399000;99.0;7980.0
600;2;1.0;1.0;75;4;1;400000;99.0;5333.33
880;2;1.0;1.0;85;4;6;770000;99.0;9058.82
690;2;1.0;1.0;80;4;0;499000;99.0;6237.5
650;2;1.0;1.0;63;4;2;590000;99.0;9365.08
750;2;1.0;1.0;98;4;1;460000;99.0;4693.88
550;2;1.0;1.0;73;4;0;380000;99.0;5205.48
560;2;1.0;1.0;66;4;0;380000;99.0;5757.58
200;2;1.0;1.0;108;4;0;380000;99.0;3518.52
520;2;1.0;1.0;65;4;13;415000;99.0;6384.62
500;2;1.0;1.0;60;4;29;475700;99.0;7928.33
250;2;1.0;0.0;66;4;23;250000;99.0;3787.88
800;2;1.0;1.0;67;4;1;450000;99.0;6716.42
1206;2;1.0;1.0;77;4;0;450000;99.0;5844.16
250;2;1.0;1.0;60;4;0;305000;99.0;5083.33
500;2;2.0;1.0;70;4;2;599000;99.0;8557.14
400;2;1.0;1.0;54;4;0;450000;99.0;8333.33
514;2;1.0;1.0;65;4;7;430000;99.0;6615.38
733;2;1.0;1.0;78;4;2;580000;99.0;7435.9
428;2;1.0;1.0;86;4;0;248000;99.0;2883.72
740;3;1.0;1.0;80;4;0;440000;99.0;5500.0
390;3;1.0;1.0;77;4;0;360000;99.0;4675.32
1270;3;1.0;2.0;140;4;0;900000;99.0;6428.57
930;3;1.0;2.0;150;4;0;894000;99.0;5960.0
790;3;1.0;1.0;89;4;16;760000;99.0;8539.33
300;3;1.0;1.0;84;4;16;395000;99.0;4702.38
400;3;1.0;1.0;88;4;16;420000;99.0;4772.73
150;3;1.0;1.0;101;4;1;600000;99.0;5940.59
866;3;1.0;2.0;93;4;15;750000;99.0;8064.52
1150;3;1.0;1.0;115;4;5;770000;99.0;6695.65
500;3;1.0;2.0;170;4;0;690000;99.0;4058.82
890;3;1.0;2.0;130;4;0;560000;99.0;4307.69
830;3;1.0;2.0;70;4;0;540000;99.0;7714.29
200;3;1.0;1.0;80;4;4;450000;99.0;5625.0
792;3;1.0;1.0;94;4;0;630000;99.0;6702.13
550;3;1.0;1.0;86;4;0;695000;99.0;8081.4
890;3;1.0;2.0;125;4;2;680000;99.0;5440.0
